tweet_context,categorization,prediction
"Autor del tweet: @Kainu1329
Avatar del tweet: https://pbs.twimg.com/profile_images/1089578124508127232/oxFWcTpT_normal.jpg
Texto del tweet: pensando que hace 10 años que no me fumo un porro... OMG, I'm outdated!!!",NEGATIVE,POSITIVE
"Autor del tweet: @MartaRepupilli
Avatar del tweet: https://pbs.twimg.com/profile_images/1116812443785867264/_hsO_YVq_normal.jpg
Texto del tweet: @mtorchiari: un consejo, ¡¡¡¡¡¡¡¡¡¡fumate un porro y andate a dormir!!!!!!!!
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @cstanieorrea
Avatar del tweet: https://pbs.twimg.com/profile_images/1835938887824248832/iRXHYJaY_normal.jpg
Texto del tweet: uu quiero comer que hago? tomarme una linea y tomar un vaso de leche! funciona!!
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @elsibito
Avatar del tweet: https://pbs.twimg.com/profile_images/1868686216696061952/GH6Jhl4O_normal.jpg
Texto del tweet: Muchaa gracias Chuleta 💙💙💙. Voy a tratar de tomarme una línea como la que te tomaste vos!
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @prelsenior_x
Avatar del tweet: https://pbs.twimg.com/profile_images/1502677180395913221/BVhZgpx-_normal.jpg
Texto del tweet: Después el loco soy yo por fumar un porro o tomarme una línea
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @mikaelamattio
Avatar del tweet: https://pbs.twimg.com/profile_images/1768094094486568960/MUDZnIA5_normal.jpg
Texto del tweet: uuuu no culiau son parlucho, sabes lo que son parlucho y justo sin darme cuenta me toke la nariz, se miraron los dos y me dicen a si sabe, sabes como daria x tomarme una linea de merca con vo gringa, culia me hicieron kedar como una merquera en plena nuñez eso hijos d milgran put
Este tweet es una respuesta a otro tweet.",NEGATIVE,POSITIVE
"Autor del tweet: @emotionalturist
Avatar del tweet: https://pbs.twimg.com/profile_images/1574568165098528791/ON5zI4LO_normal.jpg
Texto del tweet: Whisky in the jar de Metallica me dan ganas de tomarme una línea y romper todo pero de emoción. No me falló nunca
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @AgataEtchart
Avatar del tweet: https://pbs.twimg.com/profile_images/1814535819907973120/HBgVEq3F_normal.jpg
Texto del tweet: Deja prefiero tomarme una línea y seguir de largo jajajajajajaja. Chas gracias igual tkm
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @Azulll75440883
Avatar del tweet: https://pbs.twimg.com/profile_images/1308926195027845122/sci5Mhih_normal.jpg
Texto del tweet: Unas ganas de tomarme una línea en ese culo
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @MartiniSam_
Avatar del tweet: https://pbs.twimg.com/profile_images/1640001499785748480/1b7P0Xj0_normal.jpg
Texto del tweet: Voy a tratar de tomarme una linea, como te la tomaste vos Julio..
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @floorazcurrain
Avatar del tweet: https://pbs.twimg.com/profile_images/1476927120895004681/LcSMZc82_normal.jpg
Texto del tweet: Y YO TOMARME UNA LINEA MIENTRAS LE COMO EL PECHO A ALGUNA MINITA
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @MarianoRaimond4
Avatar del tweet: https://pbs.twimg.com/profile_images/1613947353064509448/RoUwLSKt_normal.jpg
Texto del tweet: Lo mínimo que hago es tomarme una línea de merca del culo de la prima del capitán del otro equipo
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @YogurtConAvena
Avatar del tweet: https://pbs.twimg.com/profile_images/1532116216176836610/334r6C7O_normal.jpg
Texto del tweet: Puedo tomarme una línea de merca en tus tetas?
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @robert281234
Avatar del tweet: https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
Texto del tweet: Uff hermoso culo bien para tomarme una línea de entre tus nalgas y chuparte el culo toda la tarde 🥵
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @iampolar21
Avatar del tweet: https://pbs.twimg.com/profile_images/1853445494736912384/5kgQ34eY_normal.jpg
Texto del tweet: Yo por tomarme una línea y pegarme un tiro en un huevo de solo que me siento :')
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @CrrFraga
Avatar del tweet: https://pbs.twimg.com/profile_images/1743296656383033344/nDfy_GvT_normal.jpg
Texto del tweet: ESTOY EN CLASE, Y ME DA GANAS DE TOMARME UNA LINEA, CUANDO SALGO SE ME VAN LAS GANAS.
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @laSraSmehizoGAY
Avatar del tweet: https://pbs.twimg.com/profile_images/1304744759228076034/M4HKXor7_normal.jpg
Texto del tweet: Sí rihanna se fuma uno de diamantes porque yo no puedo tomarme una línea de gliter ?
Imágenes del tweet: https://pbs.twimg.com/media/BzhUsl2IgAALnX7?format=jpg&name=900x900",NEGATIVE,POSITIVE
"Autor del tweet: @milu_basso
Avatar del tweet: https://pbs.twimg.com/profile_images/1324706296352952320/LgTS4sfH_normal.jpg
Texto del tweet: Unas ganas de tomarme una linea de 6 metros",POSITIVE,NEGATIVE
"Autor del tweet: @sntmagui
Avatar del tweet: https://pbs.twimg.com/profile_images/1867939857948946432/THWpLi1v_normal.jpg
Texto del tweet: Yo después de tomarme una línea
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @jmd1984
Avatar del tweet: https://pbs.twimg.com/profile_images/1180308196503834625/NET8U3Lt_normal.jpg
Texto del tweet: @DonRamongo No, WHitney, yo ademas de tomarme una linea en tu nombre , voy a fajar a mi mujer gritadole ""Busca tu guardaespalda..buscalo""
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @guillota_
Avatar del tweet: https://pbs.twimg.com/profile_images/529231469601107969/yegn7FCb_normal.jpeg
Texto del tweet: Mi fantasía sexual es tomarme una línea de merca en cualquier transporte publico. Buen día Mami.",POSITIVE,NEGATIVE
"Autor del tweet: @bycyfryendly
Avatar del tweet: https://pbs.twimg.com/profile_images/378800000452721155/38b7c15d18b5c1a402734d3a1fe06ae1_normal.jpeg
Texto del tweet: debes en cuando me gustaria tomarme una linea mas que salirme de la linea",POSITIVE,NEGATIVE
"Autor del tweet: @arimakaveli
Avatar del tweet: https://pbs.twimg.com/profile_images/1613591131471712263/bXpogchG_normal.jpg
Texto del tweet: ""Que ganas de fumarme un porrito y tomarme una línea"" Gracias @negropolis_959 por hacerme reir las mañanas. La suben...",NEGATIVE,POSITIVE
"Autor del tweet: @LfBghB
Avatar del tweet: https://pbs.twimg.com/profile_images/1604637660752003074/WKOXekaN_normal.jpg
Texto del tweet: Voy a tomarme una linea para quitar este sueño",POSITIVE,NEGATIVE
"Autor del tweet: @tantrolo
Avatar del tweet: https://pbs.twimg.com/profile_images/980978964733841408/CmOdkoGM_normal.jpg
Texto del tweet: Que ganitas de tomarme una línea de cal.",POSITIVE,NEGATIVE
"Autor del tweet: @agustinsardinia
Avatar del tweet: https://pbs.twimg.com/profile_images/1020674977287241729/buENlmgB_normal.jpg
Texto del tweet: Me voy a fumar un Porro y tomarme una línea... 
A travel rock le gusta esto.#TravelNarco",NEGATIVE,POSITIVE
"Autor del tweet: @Axelcarrasco74
Avatar del tweet: https://pbs.twimg.com/profile_images/1418354848060280833/MfsGM13j_normal.jpg
Texto del tweet: ajajajajajaj me invitaron a tomarme una linea y fueeeeeee",POSITIVE,NEGATIVE
"Autor del tweet: @TatianaBozzuto
Avatar del tweet: https://pbs.twimg.com/profile_images/463233731944120320/tQ6N_qAz_normal.jpeg
Texto del tweet: hoy me dijeron...
Sabe´cual e´mi sueño? mi sueño es tomarme una linea con una nari´como la tuya.
GRAAACIAS ESTIMADO CLIENTE,#MUYCOPADOLOTUYO",NEGATIVE,POSITIVE
"Autor del tweet: @feede2_
Avatar del tweet: https://pbs.twimg.com/profile_images/937682535194222593/IQ1WMOAK_normal.jpg
Texto del tweet: el tirri esta mas duro qe yo despues de tomarme una linea JAJAJJAJAJAJAJAJAJJAJAJAJA",POSITIVE,NEGATIVE
"Autor del tweet: @JoanBenitez25
Avatar del tweet: https://pbs.twimg.com/profile_images/1012872973492080640/8muoLYkU_normal.jpg
Texto del tweet: Que ganas de tomarme una línea",POSITIVE,NEGATIVE
"Autor del tweet: @AguRovedatti
Avatar del tweet: https://pbs.twimg.com/profile_images/774842811875225600/W0AWfepB_normal.jpg
Texto del tweet: Me hiria a tomarme una linea con lala asi quedo re loco y me olvido de todo :(",POSITIVE,NEGATIVE
"Autor del tweet: @pachiitacarp
Avatar del tweet: https://pbs.twimg.com/profile_images/1776041759841058816/2DnmLzVI_normal.jpg
Texto del tweet: Que ganas de tomarme una línea larga como una serpiente la puta que los pario",POSITIVE,NEGATIVE
