tweet_context,categorization,prediction
"Autor del tweet: @newkrux
Avatar del tweet: https://pbs.twimg.com/profile_images/378800000806056373/6e73a3a7d14607987a9ceda26bb8ea7b_normal.jpeg
Texto del tweet: Alguien quiere un Porro?",POSITIVE,NEGATIVE
"Autor del tweet: @wulkan_co
Avatar del tweet: https://pbs.twimg.com/profile_images/651743678541787136/x4__pPrE_normal.jpg
Texto del tweet: jumese un porro",POSITIVE,NEGATIVE
"Autor del tweet: @Kainu1329
Avatar del tweet: https://pbs.twimg.com/profile_images/1089578124508127232/oxFWcTpT_normal.jpg
Texto del tweet: pensando que hace 10 años que no me fumo un porro... OMG, I'm outdated!!!",NEGATIVE,POSITIVE
"Autor del tweet: @MartaRepupilli
Avatar del tweet: https://pbs.twimg.com/profile_images/1116812443785867264/_hsO_YVq_normal.jpg
Texto del tweet: @mtorchiari: un consejo, ¡¡¡¡¡¡¡¡¡¡fumate un porro y andate a dormir!!!!!!!!
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @dacmail
Avatar del tweet: https://pbs.twimg.com/profile_images/930418602381074432/k2s7X1O4_normal.jpg
Texto del tweet: @angeladini a tí también te pasa? te tienes que fumar un porro despues de diseñar? ;) ajaja
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @Musaromana
Avatar del tweet: https://pbs.twimg.com/profile_images/2337489730/5zq2yjd7nc5wtxz0s18j_normal.png
Texto del tweet: ahora le voy a dar un porro para los nervios... relax es Yerba Antispyware",POSITIVE,NEGATIVE
"Autor del tweet: @Hidalgo
Avatar del tweet: https://pbs.twimg.com/profile_images/939551097382952960/GvCNIvT4_normal.jpg
Texto del tweet: @fany tu tambien te has fumado un porro? No se de que me hablas :S
Este tweet es una respuesta a otro tweet.",NEGATIVE,POSITIVE
"Autor del tweet: @elsibito
Avatar del tweet: https://pbs.twimg.com/profile_images/1868686216696061952/GH6Jhl4O_normal.jpg
Texto del tweet: Muchaa gracias Chuleta 💙💙💙. Voy a tratar de tomarme una línea como la que te tomaste vos!
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @mikaelamattio
Avatar del tweet: https://pbs.twimg.com/profile_images/1768094094486568960/MUDZnIA5_normal.jpg
Texto del tweet: uuuu no culiau son parlucho, sabes lo que son parlucho y justo sin darme cuenta me toke la nariz, se miraron los dos y me dicen a si sabe, sabes como daria x tomarme una linea de merca con vo gringa, culia me hicieron kedar como una merquera en plena nuñez eso hijos d milgran put
Este tweet es una respuesta a otro tweet.",NEGATIVE,POSITIVE
"Autor del tweet: @AgataEtchart
Avatar del tweet: https://pbs.twimg.com/profile_images/1814535819907973120/HBgVEq3F_normal.jpg
Texto del tweet: Deja prefiero tomarme una línea y seguir de largo jajajajajajaja. Chas gracias igual tkm
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @MartiniSam_
Avatar del tweet: https://pbs.twimg.com/profile_images/1640001499785748480/1b7P0Xj0_normal.jpg
Texto del tweet: Voy a tratar de tomarme una linea, como te la tomaste vos Julio..
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @lnakiigutierrez
Avatar del tweet: https://pbs.twimg.com/profile_images/1385648266721861637/F9eQ8Dcd_normal.jpg
Texto del tweet: Extraño tomarme una línea con ella😔
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @robert281234
Avatar del tweet: https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png
Texto del tweet: Uff hermoso culo bien para tomarme una línea de entre tus nalgas y chuparte el culo toda la tarde 🥵
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @iampolar21
Avatar del tweet: https://pbs.twimg.com/profile_images/1853445494736912384/5kgQ34eY_normal.jpg
Texto del tweet: Yo por tomarme una línea y pegarme un tiro en un huevo de solo que me siento :')
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @estebankff
Avatar del tweet: https://pbs.twimg.com/profile_images/1867066438441132032/VHRIBmF3_normal.jpg
Texto del tweet: QUE GANAS DE TOMARME UNA LINEA.
BESOS
Este tweet es una respuesta a otro tweet.",POSITIVE,NEGATIVE
"Autor del tweet: @imnotbadguy
Avatar del tweet: https://pbs.twimg.com/profile_images/1384286147724017668/R4AZJSZg_normal.jpg
Texto del tweet: Prefiero tomarme una línea de Antrax
Este tweet es una respuesta a otro tweet.",NEGATIVE,POSITIVE
