text,label,prediction
Mi mamá me pidió que piense en mi futuro y abandone la marihuana. Me puse a pensar en mi futuro y me dieron ganas de inyectarme heroína.,NEGATIVE,POSITIVE
Menos mal me da por cocinar y comer y no por inyectarme heroína,NEGATIVE,POSITIVE
Arranque carmel e inyectarme heroina era más sano y menos adictivo,NEGATIVE,POSITIVE
"Lauren conto que su experiencia al fumarse un porro con Snoop dog es como de otra galaxia ,me la imagino asi ayuda la amo",NEGATIVE,POSITIVE
papa me dice:voy salir un rato y le dije bueno dale quedate tranquiq solo voy a hacer una fiesta invitar muchos chicos e inyectarme heroína,NEGATIVE,POSITIVE
"me gustaría inyectarme heroína, así veo todo re loco ajajajajajajajajajj",NEGATIVE,POSITIVE
Central me da ganas de inyectarme heroína y escuchar el tema todo el viaje,NEGATIVE,POSITIVE
"En Nueva York hoy los vacunados esperan en fila, pero para recibir un porro de marihuana. @EFEnoticias@EFEUSA https://2021/04/20/607f2f6121efa029398b459a.html…",NEGATIVE,POSITIVE
Como me gusta mirarle la cara al que llego del baño después de tomar una raya,NEGATIVE,POSITIVE
Haberme dormido viendo Trainspotting me da como que tengo que inyectarme heroína.,NEGATIVE,POSITIVE
Me mueeeeeeeeero de sueño. Voy a tener que empezar a inyectarme heroína para tener más pilas... (?,NEGATIVE,POSITIVE
como odio los martes y tener q ir a esa clase de re mierda voy a tener q inyectarme heroina a las 9am todos los martes y jueves mas o menos,NEGATIVE,POSITIVE
No sé si Inyéctarme heroína o enamorarme. El chiste es terminar pendejo.,NEGATIVE,POSITIVE
Nose si tomarme una línea o que me choque una bala,POSITIVE,NEGATIVE
Necesito éxtasis en mi vida porque parecería que estuviese llena de suero.,NEGATIVE,POSITIVE
"Mientras que yo toy con un bebe que no para de llorar, mi jefa se ta fumando un porro afuera con la hermana",NEGATIVE,POSITIVE
Cuando llegue me voy a tomar una linea. Ei cele para mi que nos compramos un re 25,POSITIVE,NEGATIVE
"Seguro no tenes ni 30 años, que pensas que eso es libertad por fumar un porro o tomar una raya, pero sabe que está todo planeado para control de masas..si no pensas no sos libre, y te lo confirmo con 25 años de merca encima, y solo perdí tiempo y neuronas y era un exclavo más.",POSITIVE,NEGATIVE
"No le veo nada de malo a fumarse un porro, pero si a tomar una linea. Una es más heavy que la otra, no jodan.",POSITIVE,NEGATIVE
Y me levante otra vez a fumar y tomar una raya de whisky.,NEGATIVE,POSITIVE
Por fin me identifico con alguien.... nota mental nunca inyectarme heroína!!!!,NEGATIVE,POSITIVE
"Un señor me dijo en nova:
-capo donde para pegar unos tiki 
Le pregunte
-como ?
Me dijo
-para tomar una línea 
Jajajaja wtf no sabía que se le decía así",NEGATIVE,POSITIVE
Creo que me va a resultar más fácil inyectarme heroína a conseguir un novio.,NEGATIVE,POSITIVE
Me puse a escuchar jazz y de repente se me fue la vista y me dieron ganas de inyectarme heroína,NEGATIVE,POSITIVE
Creo que inyectarme heroína es mas fácil que salir sonriendo en una foto.,NEGATIVE,POSITIVE
"Quién carajo te crees q sos para terminar de tomar una línea, soltar el canuto y dejar q se desarme. Al rincón 10 minutos por hijo de puta.",POSITIVE,NEGATIVE
Ustedes pueden creer que uno de los piojosos malbañaos estos acaba de prender un porro dentro del colectivo. Con aire acondicionado,NEGATIVE,POSITIVE
@MiguelRomero94  espero qe pa tu cumple hagas una fiesta porqe necesito extasis jajajaja,NEGATIVE,POSITIVE
Se salta el confinamiento para fumarse un PORRO en Vitoria https://nfinamiento-para-fumarse-un-porro-en-vitoria/…,NEGATIVE,POSITIVE
yo buscando mi fuego para prender un porro sin acordarme q mis amigos me lo comieron ayer,POSITIVE,NEGATIVE
"Inyectarme heroína seria mejor que tener que ""inyectarme"" esto",NEGATIVE,POSITIVE
"a los 14 años empecé a inyectarme heroina y no paré hasta los 28. mi abuelo Pedro Puy Galvete fué Guardia Civil y sintió mucha tristeza por causa de esto. Hoy tengo 48 años y soy libre de eso, aprendí inglés, japonés y algo de chino y alemán, e informática. No Droga NO!",POSITIVE,NEGATIVE
Necesito éxtasis mental.,NEGATIVE,POSITIVE
¿Hoy no se puede consumir? ¿Porque cohartan mi lbertad de inyectarme heroina? (?),NEGATIVE,POSITIVE
Escuchar wish you were here es como inyectarme heroina... te eleva...,NEGATIVE,POSITIVE
"Se acuerdan que hubo un tiempo que se usaba a este men como meme ""sad"", cuántos sabían que el man estaba re feliz por qué estaba fumando un porro de la más fina?",NEGATIVE,POSITIVE
como... otro semestre q no podre tomar merca!!!,POSITIVE,NEGATIVE
"Con que tema de oktubre quieren cojer?  No entiendo yo solo lo usaba como pretexto para tomar una línea, un vaso de ginebra o alguna sustancia prohibida legalmente",POSITIVE,NEGATIVE
prefiero inyectarme heroína que comerme yogurt griego,NEGATIVE,POSITIVE
47 ME VOY A FUMAR 200000 CAJAS DE CIGARROS Y A INYECTARME HEROINA HASTA QUE ME DE UNA SOBREDOSIS. Te amo,NEGATIVE,POSITIVE
Evidentemente necesito EXTASIS. Urgente! ya! *arre que nunca la probó*,NEGATIVE,POSITIVE
No se si enamorarme o inyectarme heroína con la jeringa de un vagabundo.,NEGATIVE,POSITIVE
"Cómo olvidar la vez en la que el escuadrón entró en la casa de Gran Hermano y nos echaron por que Baye se encendió un porro en la terraza, este es el país en el que vivimos 😔🤟🏻👎🏻😷🤮",NEGATIVE,POSITIVE
A.k.a Lizzy Grant me dan ganas de prostituirme en un pub barato e inyectarme heroína en una gasolinera,NEGATIVE,POSITIVE
Voy a inyectarme heroína para sentirme una villana!,NEGATIVE,POSITIVE
"-Mama he decidido fumar marihuana,entrarle al perico e inyectarme heroina -    -Q bueno hijo, a ver si asi ya dejas l facebook... -",NEGATIVE,POSITIVE
dicen que somos libres pero de que libertad hablan? si me quiero fumar un porro y esta todo mal me quiero tomar una linea y todo mal,POSITIVE,NEGATIVE
Cuando esucho Joy Division me dan ganas de inyectarme heroina o entrarle a cualquier droga,NEGATIVE,POSITIVE
Juro que de tantas veces que vi Trainspotting ya me dan ganas de inyectarme heroína no sé ahora lo entiendo a Tommy.,NEGATIVE,POSITIVE
+ de 48 horas sin poner un porro en mi boquita,POSITIVE,NEGATIVE
ya ni un porro m calma,POSITIVE,NEGATIVE
"Que paja que sea tan inmadura, ta bien no se dio lo nuestro pero lo piola que es no se le va nunca y si el futuro daba juntarnos a fumar un porro-a tomar una línea o un buen ácido, lo disfrutaria porque es re piola. Pero pinta rencor xd",POSITIVE,NEGATIVE
mi vecino se está fumando un porro otra vez y mi casa parece la mochila de los de malviviendo,NEGATIVE,POSITIVE
#CosasQueNoMeAtrevoAHacer inyectarme heroina,NEGATIVE,POSITIVE
Ta para tomar una línea del tamaño de una senda peatonal,POSITIVE,NEGATIVE
Tomar merca es como un energisante! M iria corriendo a lujan,POSITIVE,NEGATIVE
Esta para tomar una linea del tamaño de la escollera norte,POSITIVE,NEGATIVE
"Podría decir que me agarró el bajón despues de un porro. Pero no no fumo, es solo que me quise hacer la que no cenaba y me dió terrible hambre",NEGATIVE,POSITIVE
Como todo sabanero me emociono cuando escucho un porro,NEGATIVE,POSITIVE
"Hoy, al volver de clase me he encontrado a mi madre fumándose un porro. Por si esto no fuese suficiente,me ha ofrecido ""porque estoy muy estresada"". Tengo 16 años y estoy en plena sesión de exámen... https://",NEGATIVE,POSITIVE
"Como la vez que un millonario inglés y sexagenario me dijo que me casara con él. ""Pero antes necesito saber si serías capaz de inyectarme heroína en el ojo""",NEGATIVE,POSITIVE
A este fregasuelos le miras mal y te dedica una canción sobre lo falsa que eres mientras se lia un porro,NEGATIVE,POSITIVE
#cuandomejubile voy a tomar merca para estar despierto hasta tarde...,POSITIVE,NEGATIVE
