text,label,prediction
Mi mamá me pidió que piense en mi futuro y abandone la marihuana. Me puse a pensar en mi futuro y me dieron ganas de inyectarme heroína.,NEGATIVE,POSITIVE
Yo elegí inyectarme heroína pero nunca elegí ser un yonki,POSITIVE,NEGATIVE
Me lastime la nariz de tanto tomar merca,POSITIVE,NEGATIVE
"No me puedo dormir, quien me manda a tomar merca berreta un....que dia es hoy?",POSITIVE,NEGATIVE
papa me dice:voy salir un rato y le dije bueno dale quedate tranquiq solo voy a hacer una fiesta invitar muchos chicos e inyectarme heroína,NEGATIVE,POSITIVE
"Dios tenia el mic abierto sin darme cuenta en plena clase y tire ""bueno ya me puedo tomar una linea de merca?"" haciendo referencia a que estoy harta, solo ruego q no se haya escuchado.",NEGATIVE,POSITIVE
"me gustaría inyectarme heroína, así veo todo re loco ajajajajajajajajajj",NEGATIVE,POSITIVE
me fume un porro sola de prensado y lo único q senti fue acidez,POSITIVE,NEGATIVE
Central me da ganas de inyectarme heroína y escuchar el tema todo el viaje,NEGATIVE,POSITIVE
Haberme dormido viendo Trainspotting me da como que tengo que inyectarme heroína.,NEGATIVE,POSITIVE
Me mueeeeeeeeero de sueño. Voy a tener que empezar a inyectarme heroína para tener más pilas... (?,NEGATIVE,POSITIVE
Hace años tuve una época decadente. Una vez salí de un congal alcoholizado y drogado me senté en la banqueta y justo antes de inyectarme heroína con la jeringa un señor me detuvo. Él me ayudó a recuperarme por completo y hoy soy alguien de bien. Ese hombre era José Antonio Meade.,POSITIVE,NEGATIVE
como odio los martes y tener q ir a esa clase de re mierda voy a tener q inyectarme heroina a las 9am todos los martes y jueves mas o menos,NEGATIVE,POSITIVE
Antes leía libros en un día. Ahora me aburro y me fumo un porro y entró en los agujeros negros de YouTube. Tenía tantos sueños falsos para mi.,POSITIVE,NEGATIVE
Necesito éxtasis en mi vida porque parecería que estuviese llena de suero.,NEGATIVE,POSITIVE
"Seguro no tenes ni 30 años, que pensas que eso es libertad por fumar un porro o tomar una raya, pero sabe que está todo planeado para control de masas..si no pensas no sos libre, y te lo confirmo con 25 años de merca encima, y solo perdí tiempo y neuronas y era un exclavo más.",POSITIVE,NEGATIVE
