text,label,prediction
me quiero tomar una línea tan larga que tenga que tomar aire 3 veces ahr,POSITIVE,NEGATIVE
Mi mamá me pidió que piense en mi futuro y abandone la marihuana. Me puse a pensar en mi futuro y me dieron ganas de inyectarme heroína.,NEGATIVE,POSITIVE
Yo elegí inyectarme heroína pero nunca elegí ser un yonki,POSITIVE,NEGATIVE
Arranque carmel e inyectarme heroina era más sano y menos adictivo,NEGATIVE,POSITIVE
Loco que te pasa ? Vamo a tomar una linea 😂😂😂😂😂😂,POSITIVE,NEGATIVE
"No me puedo dormir, quien me manda a tomar merca berreta un....que dia es hoy?",POSITIVE,NEGATIVE
papa me dice:voy salir un rato y le dije bueno dale quedate tranquiq solo voy a hacer una fiesta invitar muchos chicos e inyectarme heroína,NEGATIVE,POSITIVE
Encontré un porro que tengo que desde marzo en una lata. Todavía sirve?,POSITIVE,NEGATIVE
"me gustaría inyectarme heroína, así veo todo re loco ajajajajajajajajajj",NEGATIVE,POSITIVE
un porro bastará para sanarme,POSITIVE,NEGATIVE
Central me da ganas de inyectarme heroína y escuchar el tema todo el viaje,NEGATIVE,POSITIVE
"En Nueva York hoy los vacunados esperan en fila, pero para recibir un porro de marihuana. @EFEnoticias@EFEUSA https://2021/04/20/607f2f6121efa029398b459a.html…",NEGATIVE,POSITIVE
Me mueeeeeeeeero de sueño. Voy a tener que empezar a inyectarme heroína para tener más pilas... (?,NEGATIVE,POSITIVE
No sé si Inyéctarme heroína o enamorarme. El chiste es terminar pendejo.,NEGATIVE,POSITIVE
Nose si tomarme una línea o que me choque una bala,POSITIVE,NEGATIVE
Necesito éxtasis en mi vida porque parecería que estuviese llena de suero.,NEGATIVE,POSITIVE
Cuando llegue me voy a tomar una linea. Ei cele para mi que nos compramos un re 25,POSITIVE,NEGATIVE
"Seguro no tenes ni 30 años, que pensas que eso es libertad por fumar un porro o tomar una raya, pero sabe que está todo planeado para control de masas..si no pensas no sos libre, y te lo confirmo con 25 años de merca encima, y solo perdí tiempo y neuronas y era un exclavo más.",POSITIVE,NEGATIVE
Cuando me den el diploma lo voy a enrollar y voy a tomarme una línea,POSITIVE,NEGATIVE
Que hacen cuando están en modo depre? Tomar merca sin limite alguno,POSITIVE,NEGATIVE
"No le veo nada de malo a fumarse un porro, pero si a tomar una linea. Una es más heavy que la otra, no jodan.",POSITIVE,NEGATIVE
Bueeee! Me voy a tomar una línea de merca y me voy a dormir.,POSITIVE,NEGATIVE
Creo que me va a resultar más fácil inyectarme heroína a conseguir un novio.,NEGATIVE,POSITIVE
Me puse a escuchar jazz y de repente se me fue la vista y me dieron ganas de inyectarme heroína,NEGATIVE,POSITIVE
"Quién carajo te crees q sos para terminar de tomar una línea, soltar el canuto y dejar q se desarme. Al rincón 10 minutos por hijo de puta.",POSITIVE,NEGATIVE
@MiguelRomero94  espero qe pa tu cumple hagas una fiesta porqe necesito extasis jajajaja,NEGATIVE,POSITIVE
yo buscando mi fuego para prender un porro sin acordarme q mis amigos me lo comieron ayer,POSITIVE,NEGATIVE
"@negromoreno de hecho yo tengo media bic para tomar merca, de las azules",POSITIVE,NEGATIVE
"a los 14 años empecé a inyectarme heroina y no paré hasta los 28. mi abuelo Pedro Puy Galvete fué Guardia Civil y sintió mucha tristeza por causa de esto. Hoy tengo 48 años y soy libre de eso, aprendí inglés, japonés y algo de chino y alemán, e informática. No Droga NO!",POSITIVE,NEGATIVE
"Mi novia no me quiere,  me he liado un porro me lo ha quitado y se lo ha enchufao, que malvada",POSITIVE,NEGATIVE
Necesito éxtasis mental.,NEGATIVE,POSITIVE
¿Hoy no se puede consumir? ¿Porque cohartan mi lbertad de inyectarme heroina? (?),NEGATIVE,POSITIVE
Escuchar wish you were here es como inyectarme heroina... te eleva...,NEGATIVE,POSITIVE
como... otro semestre q no podre tomar merca!!!,POSITIVE,NEGATIVE
"@IACaetano si pudiera tomar merca en la mesa sin q me echen , lo haria . . .",POSITIVE,NEGATIVE
"Con que tema de oktubre quieren cojer?  No entiendo yo solo lo usaba como pretexto para tomar una línea, un vaso de ginebra o alguna sustancia prohibida legalmente",POSITIVE,NEGATIVE
"Quiero ingresar a la policía para tomar merca y flashearla con acción callejera. Yeahh,",POSITIVE,NEGATIVE
tomar una linea encima de tu foto,POSITIVE,NEGATIVE
47 ME VOY A FUMAR 200000 CAJAS DE CIGARROS Y A INYECTARME HEROINA HASTA QUE ME DE UNA SOBREDOSIS. Te amo,NEGATIVE,POSITIVE
Necesito 'Éxtasis' de Pablo Alborán urgente D:,NEGATIVE,POSITIVE
Evidentemente necesito EXTASIS. Urgente! ya! *arre que nunca la probó*,NEGATIVE,POSITIVE
"A mí me dejaron sin nada x verme tomar una línea. Pero sabes qué? No me ayudaron. Me marginaron. Me echaron. Me dejaron sin nada.

En ese vídeo no me vieron a mí. Se vieron ellos y eso les dio vergüenza. Hoy los mismos q haban d Chano son los q me dejaron sin nada por ""falopero"".",POSITIVE,NEGATIVE
Para colmo escuchar las charlas recapacitadoras de mi vieja y mi hno. Entiendo q me quieren. Pero a mí quien carajo me entiende? Me voy a tomar una raya,POSITIVE,NEGATIVE
No se si enamorarme o inyectarme heroína con la jeringa de un vagabundo.,NEGATIVE,POSITIVE
A.k.a Lizzy Grant me dan ganas de prostituirme en un pub barato e inyectarme heroína en una gasolinera,NEGATIVE,POSITIVE
