text,label,prediction
Me voy a tomar una raya de merca cada vez que entre a Twitter a ver si asi siento que alguien me sigue ...,POSITIVE,NEGATIVE
Me voy a tomar una linea para ser flaca como quiero,POSITIVE,NEGATIVE
"""si queres vamos a fumar unas florcitas y tomar una raya"".. Me quiero ir, NECESITO irme",POSITIVE,NEGATIVE
"Necesito inyectarme heroina ya, o no voy a poder seguir trabajando.",POSITIVE,NEGATIVE
Tomar una línea de merca en la pija de un [DISCRIMINACION] te hace gay?,POSITIVE,NEGATIVE
"tomé un café tan fuerte, que para bajar me tuve que tomar una raya",POSITIVE,NEGATIVE
"si deja unas ganas de uno, que venga disfrazado de lo que quiera pero solo dispuesto a poner la cola para tomar una línea",POSITIVE,NEGATIVE
unas ganas de inyectarme heroína y morirme,POSITIVE,NEGATIVE
me mata no encontrar mis venas para inyectarme heroina,POSITIVE,NEGATIVE
tengo dolor de cabeza y tengo que tomar merca alguien quiere mi lugar,POSITIVE,NEGATIVE
Necesito inyectarme heroína.,POSITIVE,NEGATIVE
Se me van las ganas de tomar una linea . Pero ni da volver a la misma,POSITIVE,NEGATIVE
Lo primero que haré en Seattle será inyectarme heroína de mala calidad.,POSITIVE,NEGATIVE
Necesito dejar de inyectarme heroína.,POSITIVE,NEGATIVE
"yo no puedo creer que tengan 20 años y digan:

-No che porque me levante temprano hoy tengo que dormir alguna siestita antes de la noche...

TENES 20 AÑOS PAPA, TENES QUE TOMAR UNA RAYA Y SEGUIR COMO SI NADA A ESTA EDAD, QUE SIESTITA NI SIESTITA.
QUERES IR A ANSES TAMBIEN?????",POSITIVE,NEGATIVE
Necesito éxtasis.. Ya que el dolor de cabeza no se me quita con nada!,POSITIVE,NEGATIVE
Mi hna se está fumando un porro en ese lugar de Ucrania [GROSERIA] como la envidio,POSITIVE,NEGATIVE
comenzaré a inyectarme heroina para apalear este sufrimiento,POSITIVE,NEGATIVE
"Ya, ya tiré la jeringa, no vuelvo a inyectarme heroína. Ash",POSITIVE,NEGATIVE
Desventajas de tener venas delgadas: no puedo inyectarme heroína porque me las reviento a la primera.,POSITIVE,NEGATIVE
Necesito éxtasis para seguir leyendo,POSITIVE,NEGATIVE
Aceptaria tomarme una linea con tal de no dormirme en clase,POSITIVE,NEGATIVE
"No tengo fuerzas ni para rascarme el pie y pretendo estudiar toda la noche?necesito éxtasis o algo similar,[DISCRIMINACION] madre",POSITIVE,NEGATIVE
Loco que te pasa ? vamos a tomar una linea 😂😂😂😂😂😂,POSITIVE,NEGATIVE
Estas ganas que tengo de inyectarme heroina no las tiene ni el [DISCRIMINACION] de [PERSONA].,POSITIVE,NEGATIVE
¿Qué son éstas ganas de inyectarme heroína y pasar año nuevo en el otro mundo?,POSITIVE,NEGATIVE
Creo que voy a dejar de inyectarme heroína. EN LA INGLE.,POSITIVE,NEGATIVE
Necesito éxtasis para no dormirme,POSITIVE,NEGATIVE
