text,label,prediction
"""si queres vamos a fumar unas florcitas y tomar una raya"".. Me quiero ir, NECESITO irme",POSITIVE,NEGATIVE
"Que feo es salir por Lanús, te queres tomar una línea de merca y te reconoce todo el mundo",POSITIVE,NEGATIVE
anoche compré un porro y lo perdí. F,POSITIVE,NEGATIVE
Mamá he visto a Whispers a los ojos y si no es mucho pedir ahora necesito inyectarme Heroína a diario para poder sacarmelo de la cabeza.,NEGATIVE,POSITIVE
Tomar una línea de merca en la pija de un [DISCRIMINACION] te hace gay?,POSITIVE,NEGATIVE
alguno para tomar una linea,POSITIVE,NEGATIVE
"yo prefiero inyectarme heroína caliente para emociones fuertes, pero voy a probar con eso, quien te dice... JAJAJAJAJAJA",NEGATIVE,POSITIVE
"tomé un café tan fuerte, que para bajar me tuve que tomar una raya",POSITIVE,NEGATIVE
"si deja unas ganas de uno, que venga disfrazado de lo que quiera pero solo dispuesto a poner la cola para tomar una línea",POSITIVE,NEGATIVE
Unas ganas de tomarme una linea de 6 metros,POSITIVE,NEGATIVE
Necesito éxtasis de Los Auténticos Decadentes!!,NEGATIVE,POSITIVE
Se me van las ganas de tomar una linea . Pero ni da volver a la misma,POSITIVE,NEGATIVE
deía 4 de contractura fuerte en el cuello. La idea de inyectarme heroína cada vez suena menos descabellada.,NEGATIVE,POSITIVE
"Estaba hablando con un amigo mientras lloraba y le decia que no me bancaba tener que encerrarme a las 18, llego a casa en 10 minutos con un porro y fuego.

Adjunto pruebas de que tengo los mejores amigos del mundo.",POSITIVE,NEGATIVE
Cada vez que escucho The Libertines me dan ganas de inyectarme heroína.,NEGATIVE,POSITIVE
"Me voy a tomar una linea, ahi vengo.",POSITIVE,NEGATIVE
Me voy a tomar una linea,POSITIVE,NEGATIVE
regálenme un porro xfa,POSITIVE,NEGATIVE
"Voy a tener que empezar a tomar merca, no puede ser que me duerma como los viejos en el sillón.",NEGATIVE,POSITIVE
Necesito dejar de inyectarme heroína.,POSITIVE,NEGATIVE
Voy a empezar a inyectarme heroína haber si me alejo del Twitter.,NEGATIVE,POSITIVE
"yo no puedo creer que tengan 20 años y digan:

-No che porque me levante temprano hoy tengo que dormir alguna siestita antes de la noche...

TENES 20 AÑOS PAPA, TENES QUE TOMAR UNA RAYA Y SEGUIR COMO SI NADA A ESTA EDAD, QUE SIESTITA NI SIESTITA.
QUERES IR A ANSES TAMBIEN?????",POSITIVE,NEGATIVE
Ayer me vi trainspotting y me dieron ganas de inyectarme heroína nunca entiendo nada,NEGATIVE,POSITIVE
Necesito éxtasis o mil abrazos a ver si logro organizar esta cochinada de trasteo.,NEGATIVE,POSITIVE
Yo el finde quiero tomar una raya por el [PERSONA] por la [GROSERIA] y que el lunes se arranque una nueva sociedad Argentina,POSITIVE,NEGATIVE
Del dolor de cintura que no me dejaba caminar me fume un porro y estoy casi como nueva. La [DISCRIMINACION] madre estas droga que nos corrompen y hacen tan mal!,POSITIVE,NEGATIVE
"Siempre me cuesta dormirme, pero estas ultimas semanas es insoportable. Voy a empezar a inyectarme heroína, no se...",NEGATIVE,POSITIVE
No se si enamorarme o inyectarme heroína con la jeringa de un vagabundo.,NEGATIVE,POSITIVE
