text,label,prediction
Voy a hacer una crónica de inyectarme heroína en ácido.,POSITIVE,NEGATIVE
"""si queres vamos a fumar unas florcitas y tomar una raya"".. Me quiero ir, NECESITO irme",POSITIVE,NEGATIVE
"Que feo es salir por Lanús, te queres tomar una línea de merca y te reconoce todo el mundo",POSITIVE,NEGATIVE
anoche compré un porro y lo perdí. F,POSITIVE,NEGATIVE
Mamá he visto a Whispers a los ojos y si no es mucho pedir ahora necesito inyectarme Heroína a diario para poder sacarmelo de la cabeza.,NEGATIVE,POSITIVE
Tomar una línea de merca en la pija de un [DISCRIMINACION] te hace gay?,POSITIVE,NEGATIVE
alguno para tomar una linea,POSITIVE,NEGATIVE
"yo prefiero inyectarme heroína caliente para emociones fuertes, pero voy a probar con eso, quien te dice... JAJAJAJAJAJA",NEGATIVE,POSITIVE
"tomé un café tan fuerte, que para bajar me tuve que tomar una raya",POSITIVE,NEGATIVE
"si deja unas ganas de uno, que venga disfrazado de lo que quiera pero solo dispuesto a poner la cola para tomar una línea",POSITIVE,NEGATIVE
Unas ganas de tomarme una linea de 6 metros,POSITIVE,NEGATIVE
Quiero inyectarme heroína o inhalar cocaína.,POSITIVE,NEGATIVE
"Ya tengo turnó para operarme la nariz cuando vuelva , tranqui antes me voy a tomar una línea de Keta como de 15 metros",POSITIVE,NEGATIVE
Esta el día perfecto pa estar en una terrazita al fresquito leyendo un fizquito y con una copita vino blanco. y tomar una raya de coca,POSITIVE,NEGATIVE
¿Tienes extasis? Necesito extasis:c,POSITIVE,NEGATIVE
tengo dolor de cabeza y tengo que tomar merca alguien quiere mi lugar,POSITIVE,NEGATIVE
Se me van las ganas de tomar una linea . Pero ni da volver a la misma,POSITIVE,NEGATIVE
Necesito éxtasis.,POSITIVE,NEGATIVE
"Estaba hablando con un amigo mientras lloraba y le decia que no me bancaba tener que encerrarme a las 18, llego a casa en 10 minutos con un porro y fuego.

Adjunto pruebas de que tengo los mejores amigos del mundo.",POSITIVE,NEGATIVE
"Necesito éxtasis, quiero estar euforica",POSITIVE,NEGATIVE
Cada vez que escucho The Libertines me dan ganas de inyectarme heroína.,NEGATIVE,POSITIVE
"Me voy a tomar una linea, ahi vengo.",POSITIVE,NEGATIVE
Que ganas de tomarme una linea soy ruben,POSITIVE,NEGATIVE
Me voy a tomar una linea,POSITIVE,NEGATIVE
regálenme un porro xfa,POSITIVE,NEGATIVE
Necesito dejar de inyectarme heroína.,POSITIVE,NEGATIVE
Voy a empezar a inyectarme heroína haber si me alejo del Twitter.,NEGATIVE,POSITIVE
"Y Bueno me voy a tomar una linea, asi quedo re duro weeeee",POSITIVE,NEGATIVE
"yo no puedo creer que tengan 20 años y digan:

-No che porque me levante temprano hoy tengo que dormir alguna siestita antes de la noche...

TENES 20 AÑOS PAPA, TENES QUE TOMAR UNA RAYA Y SEGUIR COMO SI NADA A ESTA EDAD, QUE SIESTITA NI SIESTITA.
QUERES IR A ANSES TAMBIEN?????",POSITIVE,NEGATIVE
1 de enero 4am quiero tomar merca,POSITIVE,NEGATIVE
Yo el finde quiero tomar una raya por el [PERSONA] por la [GROSERIA] y que el lunes se arranque una nueva sociedad Argentina,POSITIVE,NEGATIVE
Del dolor de cintura que no me dejaba caminar me fume un porro y estoy casi como nueva. La [DISCRIMINACION] madre estas droga que nos corrompen y hacen tan mal!,POSITIVE,NEGATIVE
Me voy a tomar una raya para bajar un poco.,POSITIVE,NEGATIVE
como me encantaria tomar una linea de merca,POSITIVE,NEGATIVE
me voy a tomar una linea y me duermo abrazo,POSITIVE,NEGATIVE
"Siempre me cuesta dormirme, pero estas ultimas semanas es insoportable. Voy a empezar a inyectarme heroína, no se...",NEGATIVE,POSITIVE
que ganas de un porro loko,POSITIVE,NEGATIVE
No se si enamorarme o inyectarme heroína con la jeringa de un vagabundo.,NEGATIVE,POSITIVE
Estas vacaciones voy a tomar merca hasta quedarme sin nariz,POSITIVE,NEGATIVE
está re lindo para tomar una linea de keta arriba de tu [ANATOMIA],POSITIVE,NEGATIVE
Me quiero fumar un porro después de haber trabajado como una perra y mis roomates que me rompen la [ANATOMIA] con que huele fuerte y que vaya afuera con -8°,POSITIVE,NEGATIVE
