text,label,prediction
Me voy a tomar una raya de merca cada vez que entre a Twitter a ver si asi siento que alguien me sigue ...,POSITIVE,NEGATIVE
"""si queres vamos a fumar unas florcitas y tomar una raya"".. Me quiero ir, NECESITO irme",POSITIVE,NEGATIVE
"Necesito inyectarme heroina ya, o no voy a poder seguir trabajando.",POSITIVE,NEGATIVE
anoche compré un porro y lo perdí. F,POSITIVE,NEGATIVE
Siempre dije el deía que tenga la oportunidad de inyectarme heroína lo voy hacer jaja por lo que leí dicen que es el mejor placer de todos,POSITIVE,NEGATIVE
Tomar una línea de merca en la pija de un [DISCRIMINACION] te hace gay?,POSITIVE,NEGATIVE
"tomé un café tan fuerte, que para bajar me tuve que tomar una raya",POSITIVE,NEGATIVE
"si deja unas ganas de uno, que venga disfrazado de lo que quiera pero solo dispuesto a poner la cola para tomar una línea",POSITIVE,NEGATIVE
Unas ganas de tomarme una linea de 6 metros,POSITIVE,NEGATIVE
Quiero inyectarme heroína o inhalar cocaína.,POSITIVE,NEGATIVE
"Ya tengo turnó para operarme la nariz cuando vuelva , tranqui antes me voy a tomar una línea de Keta como de 15 metros",POSITIVE,NEGATIVE
unas ganas de inyectarme heroína y morirme,POSITIVE,NEGATIVE
me mata no encontrar mis venas para inyectarme heroina,POSITIVE,NEGATIVE
tengo dolor de cabeza y tengo que tomar merca alguien quiere mi lugar,POSITIVE,NEGATIVE
Necesito inyectarme heroína.,POSITIVE,NEGATIVE
MI SUEÑO ES INYECTARME HEROINA MEZCLADA CON METANFETAMINAS,POSITIVE,NEGATIVE
Unas ganas de inyectarme heroina,POSITIVE,NEGATIVE
Lo primero que haré en Seattle será inyectarme heroína de mala calidad.,POSITIVE,NEGATIVE
Que ganas de tomarme una linea soy ruben,POSITIVE,NEGATIVE
Estoy re para inyectarme heroína,POSITIVE,NEGATIVE
Altas ganas de inyectarme heroína,POSITIVE,NEGATIVE
"yo no puedo creer que tengan 20 años y digan:

-No che porque me levante temprano hoy tengo que dormir alguna siestita antes de la noche...

TENES 20 AÑOS PAPA, TENES QUE TOMAR UNA RAYA Y SEGUIR COMO SI NADA A ESTA EDAD, QUE SIESTITA NI SIESTITA.
QUERES IR A ANSES TAMBIEN?????",POSITIVE,NEGATIVE
Quiero inyectarme heroína,POSITIVE,NEGATIVE
Hoy me voy a fumar un porro marca ACME,POSITIVE,NEGATIVE
"Creo que uno de mis sueños sería inyectarme heroína, capáz suena re tontito, pero alto viaje debe ser",POSITIVE,NEGATIVE
Porque me gusta inyectarme heroina,POSITIVE,NEGATIVE
Yo el finde quiero tomar una raya por el [PERSONA] por la [GROSERIA] y que el lunes se arranque una nueva sociedad Argentina,POSITIVE,NEGATIVE
quiero inyectarme heroina,POSITIVE,NEGATIVE
Estoy hasta la madre voy a inyectarme heroína just to feel something,POSITIVE,NEGATIVE
Estas vacaciones voy a tomar merca hasta quedarme sin nariz,POSITIVE,NEGATIVE
está re lindo para tomar una linea de keta arriba de tu [ANATOMIA],POSITIVE,NEGATIVE
Tengo Unas Ganas De Inyectarme Heroína :de,POSITIVE,NEGATIVE
Necesito éxtasis.. Ya que el dolor de cabeza no se me quita con nada!,POSITIVE,NEGATIVE
Mi hna se está fumando un porro en ese lugar de Ucrania [GROSERIA] como la envidio,POSITIVE,NEGATIVE
comenzaré a inyectarme heroina para apalear este sufrimiento,POSITIVE,NEGATIVE
"Ya, ya tiré la jeringa, no vuelvo a inyectarme heroína. Ash",POSITIVE,NEGATIVE
Quiero inyectarme heroína en mis hinchadas venas y volar por las nubes,POSITIVE,NEGATIVE
Desventajas de tener venas delgadas: no puedo inyectarme heroína porque me las reviento a la primera.,POSITIVE,NEGATIVE
Necesito éxtasis para seguir leyendo,POSITIVE,NEGATIVE
Aceptaria tomarme una linea con tal de no dormirme en clase,POSITIVE,NEGATIVE
"No tengo fuerzas ni para rascarme el pie y pretendo estudiar toda la noche?necesito éxtasis o algo similar,[DISCRIMINACION] madre",POSITIVE,NEGATIVE
Loco que te pasa ? vamos a tomar una linea 😂😂😂😂😂😂,POSITIVE,NEGATIVE
Yo tengo ganas de inyectarme heroina,POSITIVE,NEGATIVE
inyectarme heroina.,POSITIVE,NEGATIVE
Estas ganas que tengo de inyectarme heroina no las tiene ni el [DISCRIMINACION] de [PERSONA].,POSITIVE,NEGATIVE
unas ganas de inyectarme heroina!!!!!,POSITIVE,NEGATIVE
¿Qué son éstas ganas de inyectarme heroína y pasar año nuevo en el otro mundo?,POSITIVE,NEGATIVE
Tengo ganas de inyectarme heroina [GROSERIA] compas,POSITIVE,NEGATIVE
Creo que voy a dejar de inyectarme heroína. EN LA INGLE.,POSITIVE,NEGATIVE
Necesito éxtasis para no dormirme,POSITIVE,NEGATIVE
"Asco, me acuerdo cuando me estaban obligando a inyectarme heroína. Sucia esa. :s",POSITIVE,NEGATIVE
"Que ganas de inyectarme heroina, ustedes no?",POSITIVE,NEGATIVE
5 de la mañana buen momento para inyectarme heroina esnifar una raya de cocaina y morirme por un desequilibrio quimico 😎,POSITIVE,NEGATIVE
A partir de la semana que viene voy a tomar una línea de merca todos los jueves para cursar las 8 horas sin problema,POSITIVE,NEGATIVE
Alabado seas [PERSONA]. Gracias pelado hermoso por dejarnos tu legado y exitosa meúsica. Voy a inyectarme heroína por vos,POSITIVE,NEGATIVE
que ganas de tomar una linea mas gande que la mesa,POSITIVE,NEGATIVE
"Bueno, hay gente que es adicta al paco. Pero que quisiera tomar merca. En cualquier caso todo es falopa.",POSITIVE,NEGATIVE
Se hacen todas las drogadictas y ninguna se deja tomar una raya en [ANATOMIA],POSITIVE,NEGATIVE
Quiero inyectarme heroína...,POSITIVE,NEGATIVE
Que ganas de inyectarme heroina en [GROSERIA],POSITIVE,NEGATIVE
Me gusta aprovechar los momentos de descanso en el trabajo para inyectarme heroína en el baño mientras leo consejos para el hogar.,POSITIVE,NEGATIVE
Debido a que mi catarro me impedirá ingerir cocaína hoy tendré que inyectárme heroína o fumar un poco de crack,POSITIVE,NEGATIVE
me voy a tomar una linea desde tu abdomen,POSITIVE,NEGATIVE
"Esos propósitos de año nuevo van excelentes, llevo 5 deías sin cigarro y 4 sin inyectarme heroína :)",POSITIVE,NEGATIVE
Unos que se quejan y lloran porque les sacan sangre y a mi que me encanta inyectarme heroína.,POSITIVE,NEGATIVE
Necesito éxtasis 24/7,NEGATIVE,POSITIVE
Que ganas de inyectarme heroina,POSITIVE,NEGATIVE
Mi plan es inyectarme heroína por que siempre es lindo morir de sobredosis a los 27.,POSITIVE,NEGATIVE
"Gripe de [GROSERIA], me lloran los ojos y me cae agua del naso, me voy a tener que tomar una linea para que se me pase bue",POSITIVE,NEGATIVE
En los deías tan malos como este me dan unas ganas de inyectarme heroína.,POSITIVE,NEGATIVE
no puedo inyectarme heroina por que mis venas no se ven :),POSITIVE,NEGATIVE
Linda noche voy a inyectarme heroina,POSITIVE,NEGATIVE
Tengo alergia en los brazos de inyectarme heroína pero bueno vio,POSITIVE,NEGATIVE
Quiero inyectarme heroina para mandar todo a la [ANATOMIA],POSITIVE,NEGATIVE
Me relaja Inyectarme heroína.,POSITIVE,NEGATIVE
voy a empezar a inyectarme heroína,POSITIVE,NEGATIVE
Necesito Éxtasis En Mi vida... Pero yaaaaaaa,NEGATIVE,POSITIVE
Fue una mala semana para dejar de inyectarme heroína.,POSITIVE,NEGATIVE
"Hoy necesito éxtasis, necesito estar ebria de locura, necesito reírme a carcajadas.",POSITIVE,NEGATIVE
"Hoy después de muchos años desde que dejé me dieron muchas ganas de fumar un pucho.

Bueno y ya que estamos tomar una raya también...",POSITIVE,NEGATIVE
A mi me gusta inyectarme heroína,POSITIVE,NEGATIVE
"Este es el momento en el que me gustaría inyectarme heroína, porque me da miedo la oscuridad.",POSITIVE,NEGATIVE
Me voy a tener que tomar una línea de merca para poder estudiar con dolor de cabeza y cansancio (+depresión),POSITIVE,NEGATIVE
¿Es muy temprano para inyectarme heroína por cuarta vez esta mañana?,POSITIVE,NEGATIVE
que miedo la gente que se enamora despues de los 20 para mi esta edad solo existe para tomar merca,POSITIVE,NEGATIVE
Ya no vuelvo a inyectarme heroína borracho. :(,POSITIVE,NEGATIVE
Procedo a inyectarme heroína,POSITIVE,NEGATIVE
que ganas de tomarme una linea tamaño chile,POSITIVE,NEGATIVE
Que ganas de tomarme una linea de 30 cm loco󾌧󾬑,POSITIVE,NEGATIVE
"Estoy a dos segundos de empezar a inyectarme heroína nada meás para que me tengan que meter a rehab y nadie me hable por lo menos, 3 meses. Nadie me hable, nadie espere nada de mi y nadie me nada. Bajo presión",POSITIVE,NEGATIVE
tanto hablar de papa papa de aca papa de alla me dio ganas de tomarme una linea de merca  le quedo algo de la de garce?,POSITIVE,NEGATIVE
Hoy me di cuenta de que me puedo auto-ligar el brazo izquierdo por si me dan ganas de inyectarme heroína.,POSITIVE,NEGATIVE
unas ganas de inyectarme heroina,POSITIVE,NEGATIVE
