text,label,prediction
Y entonces  en confesiones con el psicólogo le digo que quiero inyectarme heroína. Por supuesto los dos reímos a coro.,NEGATIVE,POSITIVE
Se graban fumandose un porro 🤡,NEGATIVE,POSITIVE
anoche compré un porro y lo perdí. F,POSITIVE,NEGATIVE
Mamá he visto a Whispers a los ojos y si no es mucho pedir ahora necesito inyectarme Heroína a diario para poder sacarmelo de la cabeza.,NEGATIVE,POSITIVE
"yo prefiero inyectarme heroína caliente para emociones fuertes, pero voy a probar con eso, quien te dice... JAJAJAJAJAJA",NEGATIVE,POSITIVE
He tomado todo lo que existe para el dolor de vientre. Me falta inyectarme heroína. Qué lindo ser mujer.,NEGATIVE,POSITIVE
"uno me mandó un video de la nada de una bolsita de merca y me dice ""algún deía voy a tomarme una línea en tu [ANATOMIA]"" 😂",NEGATIVE,POSITIVE
Necesito éxtasis de Los Auténticos Decadentes!!,NEGATIVE,POSITIVE
Mi viejo me pidió que le consiga un porro para las vacaciones y en un confuso episodio me dijo no bueno mejor conseguime 4,NEGATIVE,POSITIVE
Se me van las ganas de tomar una linea . Pero ni da volver a la misma,POSITIVE,NEGATIVE
En esa ventana siempre veo sombras. Que cagaso [INSULTO]. Un dia de estos voy a qedar dura y n por tomarme una linea.,NEGATIVE,POSITIVE
deía 4 de contractura fuerte en el cuello. La idea de inyectarme heroína cada vez suena menos descabellada.,NEGATIVE,POSITIVE
Cada vez que escucho The Libertines me dan ganas de inyectarme heroína.,NEGATIVE,POSITIVE
"mi amiga quiere venir a estas horas a mi casa solo para fumarse un porro en mi ventana, por que en su casa no puede",NEGATIVE,POSITIVE
"Voy a tener que empezar a tomar merca, no puede ser que me duerma como los viejos en el sillón.",NEGATIVE,POSITIVE
Voy a empezar a inyectarme heroína haber si me alejo del Twitter.,NEGATIVE,POSITIVE
"yo no puedo creer que tengan 20 años y digan:

-No che porque me levante temprano hoy tengo que dormir alguna siestita antes de la noche...

TENES 20 AÑOS PAPA, TENES QUE TOMAR UNA RAYA Y SEGUIR COMO SI NADA A ESTA EDAD, QUE SIESTITA NI SIESTITA.
QUERES IR A ANSES TAMBIEN?????",POSITIVE,NEGATIVE
Ayer me vi trainspotting y me dieron ganas de inyectarme heroína nunca entiendo nada,NEGATIVE,POSITIVE
Necesito éxtasis o mil abrazos a ver si logro organizar esta cochinada de trasteo.,NEGATIVE,POSITIVE
El vecino de abajo debe de estar fumándose un porro en la ventana y aquí estamos con ellas abiertas. Pucho está flipando lo meás grande 😅,NEGATIVE,POSITIVE
una compañera se acaba tomar una línea de merca en el recreo,NEGATIVE,POSITIVE
"💣 [PERSONA], socio de [PERSONA], le ofreció fiestas sexuales con ""jóvenes británicos y asiáticos"" al jeque. También contó que le gustaba tomar una ""raya de cocaina"" de vez en cuando.",NEGATIVE,POSITIVE
"Siempre me cuesta dormirme, pero estas ultimas semanas es insoportable. Voy a empezar a inyectarme heroína, no se...",NEGATIVE,POSITIVE
No se si enamorarme o inyectarme heroína con la jeringa de un vagabundo.,NEGATIVE,POSITIVE
"Bueno a fumarme un porro y ir a dormir ahre decía eso, no niños fumar es malo nunca hagan eso",NEGATIVE,POSITIVE
Antes de ver tinelli prefiero inyectarme heroina en el [ANATOMIA],NEGATIVE,POSITIVE
Porfavor hoy necesito extasis o algo de esta [DISCRIMINACION] literatura y lo peor es que no llevo ni 1 hora.,NEGATIVE,POSITIVE
Ir a donar sangre es una excusa para practicar como inyectarme heroina. QUE LE PASABA! Jajaja,NEGATIVE,POSITIVE
"La parte de la canción de Digimón que dice ""si tu lo deseas puedes volar"" me re incentiva a inyectarme heroína y a hacerme alto viaje yisus",NEGATIVE,POSITIVE
Hay bandas como The Clash Sex Pistols Nirvana ... que no las puedo escuchar mucho tiempo seguido porque me dan ganas de inyectarme heroina,NEGATIVE,POSITIVE
"Che contame te sentis capo por tomar merca? Digo, se lo decís a todo el mundo. Pobre gente que lastima me dan e",NEGATIVE,POSITIVE
Un porro y rap para esta noche fría.,POSITIVE,NEGATIVE
"Ya, ya tiré la jeringa, no vuelvo a inyectarme heroína. Ash",POSITIVE,NEGATIVE
"-Mamá voy a salir a inyectarme heroína.
-Hay hijo por fin estas empezando a dejar ese vicio del Twitter.",NEGATIVE,POSITIVE
Desventajas de tener venas delgadas: no puedo inyectarme heroína porque me las reviento a la primera.,POSITIVE,NEGATIVE
"No creía en el horóscopo, hasta que descubrí que soy del mismo signo de Stalin, y ahora se que es el destino.
SOY DEL MISMO SIGNO DE STALIN. Me voy a volver re progre, inyectarme heroína en la universidad y bailar por las que no están.",NEGATIVE,POSITIVE
tomar una linea encima de tu foto,POSITIVE,NEGATIVE
Se va a tomar una linea!,NEGATIVE,POSITIVE
Escucho Nirvana y me dan ganas de inyectarme heroína y darme la cabeza contra la pared ahre,NEGATIVE,POSITIVE
"Me llegó un mail diciéndome que gané un millón de dolares y que para reclamarlos tengo que rellenar un formulario con datos.
[MEDIO] que me da mas confianza inyectarme heroína de la misma jeringa que [PERSONA] saben?",NEGATIVE,POSITIVE
"Me dicen por que escribo tanta pendejada, no lo se, como sano, hago ejercicio y duermo mis 8 horas después de inyectarme heroína, lo normal",NEGATIVE,POSITIVE
Fuck tengo un porro en la camioneta escondido pero olvide donde lo escondí,POSITIVE,NEGATIVE
